MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,hour,day_of_week,month,status_encoded,anomaly
367145870,2024-01-01 22:44:30,41.36371,-70.14071,33.5,154.9,155.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 23:23:38,41.30504,-70.09879,38.6,340.8,342.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:22:36,41.2955,-70.09444,18.8,335.1,342.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:26:44,41.33325,-70.11324,33.7,338.9,341.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:27:46,41.34225,-70.11814,33.9,338.9,342.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:24:40,41.31509,-70.104,35.0,336.0,338.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:30:52,41.36928,-70.1325,33.8,336.0,339.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:31:54,41.37837,-70.13699,33.8,338.9,341.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 21:02:04,41.51094,-70.22238,34.1,330.4,332.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,21,0,1,8,-1
367145870,2024-01-01 23:29:50,41.36034,-70.12749,33.6,339.4,341.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:38:06,41.43284,-70.16575,34.2,340.1,343.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
